Pid,Ppid,Name,Path,CommandLine,Hash,Username,Authenticode,Family,Type,Status,Laddr,Lport,Raddr,Rport,Timestamp
1388,836,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule,"{""MD5"":""b1c5636ec08026fd0f8ccbff49ed7e59"",""SHA1"":""d87367d5078c476b109dc3312b62781513330055"",""SHA256"":""44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Windows\\System32\\svchost.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""33000005402a4ad7d23121a615000000000540"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-04-25T15:21:49Z
2008,836,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog,"{""MD5"":""b1c5636ec08026fd0f8ccbff49ed7e59"",""SHA1"":""d87367d5078c476b109dc3312b62781513330055"",""SHA256"":""44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189""}",NT AUTHORITY\LOCAL SERVICE,"{""Filename"":""C:\\Windows\\System32\\svchost.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""33000005402a4ad7d23121a615000000000540"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-04-25T15:21:49Z
2792,836,spoolsv.exe,C:\Windows\System32\spoolsv.exe,C:\WINDOWS\System32\spoolsv.exe,"{""MD5"":""21ed19aaccc7b2ad7ffa5227ee2b21e3"",""SHA1"":""cbaf5779c8bdda1dcf3f6e8fc6ee4e948eb45cce"",""SHA256"":""22c017cfe911260a5e7c446f72e44a95b4f272b54018050862470536d82c8ce6""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Windows\\System32\\spoolsv.exe"",""ProgramName"":""Microsoft"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com"",""SerialNumber"":""3300000519daddaa8bdc44b292000000000519"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":{""Catalog"":""C:\\WINDOWS\\system32\\CatRoot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Desktop-Required-Package02~31bf3856ad364e35~amd64~~10.0.26100.8246.cat""}}",IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-04-25T15:21:50Z
4512,2444,elastic-otel-collector.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe,"""C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe"" --supervised --supervised.monitoring.url=npipe:///ZaV_0OLb1vdHHFhzn0256b16Lra5CAQJ.sock --feature-gates=telemetry.newPipelineTelemetry --supervised.logging.level=info","{""MD5"":""bfc0bab31da9195b82a8d4b15682f527"",""SHA1"":""df6d4690ef5fc3d0f01e8f443fc7e87bd39b12df"",""SHA256"":""1f97fefbfd849f24180d451a5f7b4e5dfaf01415cc15491f4811613cbde139f1""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\components\\elastic-otel-collector.exe"",""ProgramName"":null,""PublisherLink"":null,""MoreInfoLink"":null,""SerialNumber"":null,""IssuerName"":null,""SubjectName"":null,""Timestamp"":null,""Trusted"":""untrusted"",""_ExtraInfo"":{""Catalog"":""""}}",IPv4,TCP,LISTEN,127.0.0.1,49673,0.0.0.0,0,2026-04-25T15:22:11Z
4512,2444,elastic-otel-collector.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe,"""C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe"" --supervised --supervised.monitoring.url=npipe:///ZaV_0OLb1vdHHFhzn0256b16Lra5CAQJ.sock --feature-gates=telemetry.newPipelineTelemetry --supervised.logging.level=info","{""MD5"":""bfc0bab31da9195b82a8d4b15682f527"",""SHA1"":""df6d4690ef5fc3d0f01e8f443fc7e87bd39b12df"",""SHA256"":""1f97fefbfd849f24180d451a5f7b4e5dfaf01415cc15491f4811613cbde139f1""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\components\\elastic-otel-collector.exe"",""ProgramName"":null,""PublisherLink"":null,""MoreInfoLink"":null,""SerialNumber"":null,""IssuerName"":null,""SubjectName"":null,""Timestamp"":null,""Trusted"":""untrusted"",""_ExtraInfo"":{""Catalog"":""""}}",IPv4,TCP,ESTAB,127.0.0.1,49673,127.0.0.1,56603,2026-04-25T20:47:50Z
836,692,services.exe,C:\Windows\System32\services.exe,C:\WINDOWS\system32\services.exe,"{""MD5"":""fea300d083f897fb2e439d70eb452909"",""SHA1"":""0da44391a6a43afe7fa5fda2a4166f79c4c0d656"",""SHA256"":""7f408ec593109215e002efdafd321b385c8dde6f8b3d334efafbb991521e814e""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Windows\\System32\\services.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""3300000546b33d3b43c394c817000000000546"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,49674,0.0.0.0,0,2026-04-25T15:21:57Z
4512,2444,elastic-otel-collector.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe,"""C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe"" --supervised --supervised.monitoring.url=npipe:///ZaV_0OLb1vdHHFhzn0256b16Lra5CAQJ.sock --feature-gates=telemetry.newPipelineTelemetry --supervised.logging.level=info","{""MD5"":""bfc0bab31da9195b82a8d4b15682f527"",""SHA1"":""df6d4690ef5fc3d0f01e8f443fc7e87bd39b12df"",""SHA256"":""1f97fefbfd849f24180d451a5f7b4e5dfaf01415cc15491f4811613cbde139f1""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\components\\elastic-otel-collector.exe"",""ProgramName"":null,""PublisherLink"":null,""MoreInfoLink"":null,""SerialNumber"":null,""IssuerName"":null,""SubjectName"":null,""Timestamp"":null,""Trusted"":""untrusted"",""_ExtraInfo"":{""Catalog"":""""}}",IPv4,TCP,LISTEN,127.0.0.1,49690,0.0.0.0,0,2026-04-25T15:22:11Z
4468,2444,elastic-otel-collector.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe,"""C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe"" filebeat -E setup.ilm.enabled=false -E setup.template.enabled=false -E management.enabled=true -E management.restart_on_output_change=true -E logging.level=info -E logging.to_stderr=true -E gc_percent=${FILEBEAT_GOGC:100} -E filebeat.config.modules.enabled=false -E logging.event_data.to_stderr=true -E logging.event_data.to_files=false -E http.enabled=true -E http.host=npipe:///ebvJ72JkKcLim6zl2Go79BFvDy6QqDTt.sock -E ""path.data=C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\run\winlog-default""","{""MD5"":""bfc0bab31da9195b82a8d4b15682f527"",""SHA1"":""df6d4690ef5fc3d0f01e8f443fc7e87bd39b12df"",""SHA256"":""1f97fefbfd849f24180d451a5f7b4e5dfaf01415cc15491f4811613cbde139f1""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\components\\elastic-otel-collector.exe"",""ProgramName"":null,""PublisherLink"":null,""MoreInfoLink"":null,""SerialNumber"":null,""IssuerName"":null,""SubjectName"":null,""Timestamp"":null,""Trusted"":""untrusted"",""_ExtraInfo"":{""Catalog"":""""}}",IPv4,TCP,ESTAB,127.0.0.1,49696,127.0.0.1,6789,2026-04-25T15:22:11Z
4520,2444,elastic-otel-collector.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe,"""C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe"" metricbeat -E setup.ilm.enabled=false -E setup.template.enabled=false -E management.enabled=true -E management.restart_on_output_change=true -E logging.level=info -E logging.to_stderr=true -E gc_percent=${METRICBEAT_GOGC:100} -E metricbeat.config.modules.enabled=false -E logging.event_data.to_stderr=true -E logging.event_data.to_files=false -E http.enabled=true -E http.host=npipe:///5pG4rrmLKpXYXLyJbATqevsNpBFC2JMZ.sock -E ""path.data=C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\run\windows\metrics-default""","{""MD5"":""bfc0bab31da9195b82a8d4b15682f527"",""SHA1"":""df6d4690ef5fc3d0f01e8f443fc7e87bd39b12df"",""SHA256"":""1f97fefbfd849f24180d451a5f7b4e5dfaf01415cc15491f4811613cbde139f1""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\components\\elastic-otel-collector.exe"",""ProgramName"":null,""PublisherLink"":null,""MoreInfoLink"":null,""SerialNumber"":null,""IssuerName"":null,""SubjectName"":null,""Timestamp"":null,""Trusted"":""untrusted"",""_ExtraInfo"":{""Catalog"":""""}}",IPv4,TCP,ESTAB,127.0.0.1,49720,127.0.0.1,6789,2026-04-25T15:22:11Z
9828,7416,Velociraptor.exe,C:\Program Files\Velociraptor\Velociraptor.exe,"""C:\Program Files\Velociraptor\Velociraptor.exe"" --config client.config.yaml client -v","{""MD5"":""d0cbb8b4e62fea3bdd993bdfe3d93ffb"",""SHA1"":""7722b51b82966177bcbff104edf92711223744da"",""SHA256"":""4f8404eada4eb56951dcd9f95ebbc0e886ddcbc24da76efaa9e5ad3e7b622fe2""}",ALEX_COMP\darkb,"{""Filename"":""C:\\Program Files\\Velociraptor\\Velociraptor.exe"",""ProgramName"":"""",""PublisherLink"":null,""MoreInfoLink"":"""",""SerialNumber"":""bab856909c15ab30f2285aed94c8c37"",""IssuerName"":""C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1"",""SubjectName"":""C=US, ST=Massachusetts, L=Boston, O=Rapid7 LLC, CN=Rapid7 LLC"",""Timestamp"":""2026-04-15T15:28:02Z"",""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,ESTAB,192.168.56.102,50115,192.168.56.103,8000,2026-04-25T20:49:58Z
